sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstinc2,special2,meals2,open2,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte_before,fte_after,treated
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,.,1,.,2,6.5,16.5,1.03,1.03,0.52,3,3,1,1,111792,1,3.5,35,3,4.3,26,0.08,1,2,6.5,16.5,1.03,.,0.94,4,4,40.5,24,0
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,,26,.,0,.,2,10,13,1.01,0.9,2.35,4,3,1,1,111292,.,0,15,4,4.45,13,0.05,0,2,10,13,1.01,0.89,2.35,4,4,13.75,11.5,0
506,2,1,0,0,0,0,1,0,0,0,3,7,2,,13,0.37,0,30,2,11,10,0.95,0.74,2.33,3,3,1,1,111292,.,3,7,4,5,19,0.25,.,1,11,11,0.95,0.74,2.33,4,3,8.5,10.5,0
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0.1,1,0,2,10,12,0.87,0.82,1.79,2,2,1,1,111492,.,0,36,2,5.25,26,0.15,0,2,10,12,0.92,0.79,0.87,2,2,34,20,0
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,0.15,1,0,3,10,12,0.87,0.77,1.65,2,2,1,1,111492,.,28,3,6,4.75,13,0.15,0,2,10,12,1.01,0.84,0.95,2,2,24,35.5,0
62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,0.07,0,45,2,10,12,0.87,0.77,0.95,2,2,1,1,111492,.,,,,,26,.,0,2,10,12,.,0.84,1.79,3,3,20.5,,0
445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,0.1,0,0,2,6,18,1.04,0.88,0.94,3,3,1,1,110792,.,15,18,5,4.75,26,0.15,0,2,6,18,1.04,0.86,0.94,3,3,70.5,29,0
451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,0.25,0,0,2,0,24,1.05,0.84,0.96,6,4,1,1,111792,2,26,9,6,5,26,0.2,0,2,0,24,1.11,0.84,0.94,6,3,23.5,36.5,0
455,2,1,0,0,0,0,0,1,0,0,2,8,5,5.25,13,0.25,0,0,1,11,10,0.73,0.73,2.32,2,2,1,1,111292,.,3,12,2,5,13,0.25,0,2,11,11,0.94,0.84,2.32,4,3,11,11,0
458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,0.15,0,0,1,11,10,0.94,0.73,2.32,4,4,1,1,111792,1,2,9,2,5,13,0.25,0,1,11,10.5,0.9,0.73,2.32,4,3,9,8.5,0
462,3,1,0,0,0,0,0,1,0,0,2.5,20,3,5,13,0.37,1,5,2,9,12.5,1.05,1.01,1.11,4,4,2,1,122292,1,1,25,4,4.75,13,0.2,0,2,9,12,1.01,1.01,0.89,6,3,15.5,17.5,0
468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,0.17,0,0,2,6,18,0.95,0.94,0.95,4,3,1,1,110792,.,9,32,4,5,26,0.13,1,2,6,18,0.97,0.84,0.86,4,3,58,29,0
469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,0.25,0,80,2,6,18,0.92,0.72,0.96,3,2,1,1,111692,1,7,39,4,4.5,41,0.23,0,2,6,18,0.92,0.81,0.87,3,3,26.5,30.5,0
470,1,0,0,0,0,0,0,1,0,0,10.5,30,3,5.5,.,0.3,0,0,2,6,18,0.97,0.84,0.94,3,3,1,1,111792,2,18,10,3,4.75,13,0.15,1,2,6,18,1.03,0.84,0.94,3,2,28.5,26,0
474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,0.37,0,0,2,9,12.5,1.13,0.98,1.01,3,1,2,1,122292,1,5,20,3,4.5,.,0,0,2,8.5,13,1.09,0.94,0.94,3,2,13.5,18,0
481,2,1,0,0,0,0,0,1,0,2,5,17.5,3,5.25,26,0.25,1,0,3,11,10,0.95,0.74,2.53,5,4,1,1,111792,2,15,4,3,5,26,0.25,1,2,11,11,0.74,0.73,2.53,3,3,16.75,20,0
483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,0.07,1,0,2,11,10,0.94,0.73,2.32,4,3,1,1,111292,.,4,13,3,4.75,13,0.18,0,1,11,11,0.95,0.74,2.33,4,3,9.5,13.5,0
487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,0.17,1,0,2,10,11.5,1.11,0.91,0.95,6,3,1,1,111192,.,6,20,3,4.75,26,0.1,0,2,10.5,11,1.05,1.01,0.94,6,1,15,19,0
488,3,0,0,0,0,0,0,1,0,1,20,13,3,5,13,0.25,1,0,2,6,16,1.05,0.79,1.01,5,5,1,1,111192,.,5,15,3,4.75,26,0.13,0,2,7,15,1.01,1.01,0.94,5,3,29.5,15.5,0
489,3,0,0,0,0,0,0,1,0,2,5,23,2,5,13,0.37,1,6,2,7,14,1.05,1.01,0.94,4,4,1,1,111892,2,2,19,3,4.25,26,0.13,0,2,10,11.5,1.01,1.01,1.05,6,3,18.5,14.5,0
490,3,1,0,0,0,0,0,1,0,0,10,12.5,4,5,13,0.12,0,0,2,6,16,1.05,1.01,1.05,4,4,1,1,111692,1,2,18,3,5,26,0.28,0,2,6,16,1.01,1.01,1.05,5,3,20.25,14,0
493,3,1,0,0,0,0,1,0,0,0,27,12,3,5,26,0.25,0,0,2,6,16,1.05,0.9,2.01,6,3,1,1,111192,.,0,30,4,4.9,13,0.25,0,2,6,16,1.02,1.01,0.84,3,3,36,19,0
495,3,0,0,0,0,0,0,1,0,2,4,28,3,5,26,0.25,0,2,2,7,15,1.05,1.01,0.94,3,3,1,1,111192,.,8,20,3,5,26,0.25,1,2,6,16,0.96,1.01,1.01,5,3,21,21,0
496,3,1,0,0,0,0,0,1,0,0,10,15,3,5,13,0.17,1,0,2,6,16,1.05,0.9,0.73,5,3,1,1,111192,.,10,10,3,4.75,19,0.18,0,2,6,16,1.01,1.01,0.89,.,.,20.5,18,0
499,4,1,0,0,0,0,0,1,0,0,0,28,5,5,26,0.07,1,11,2,10,12,0.9,0.69,1.75,2,2,1,1,111492,1,0,31,5,5,26,0.1,1,2,10,12,0.9,0.69,0.94,2,2,19,20.5,0
509,3,1,0,0,0,0,0,1,0,2,3,16,3,5,13,0.25,0,30,2,6,16,1.05,0.95,1.16,6,3,1,1,111192,.,5.5,10,3,4.25,26,0.2,0,2,6.5,15.5,1,1.01,0.94,3,2,14,13.5,0
515,3,1,0,0,0,0,0,1,0,0,7,16,4,5,13,0.2,0,33,2,6,16,1.05,0.94,1.16,5,3,1,1,111192,.,5,19,3,4.75,13,0.18,0,2,6,16,1.01,1.01,0.94,5,4,19,17.5,0
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,0.25,0,33,2,6.5,16.5,0.98,0.84,0.84,5,3,1,1,111092,.,6,25,7,4.25,52,0.18,0,2,6.5,16.5,0.98,0.84,0.86,6,3,32.5,25.5,0
39,1,0,0,0,0,0,1,0,0,0,1,32,2,4.25,8,.,0,100,2,6.5,17.5,1.03,0.73,0.52,4,2,1,1,111792,.,5,15,3,,.,.,0,2,6.5,16.5,1.05,.,0.63,4,2,19,15.5,0
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,0.15,0,100,2,6.5,16.5,0.98,0.82,0.8,3,3,1,1,111092,.,7,25,6,4.25,8,0.13,0,2,6.5,17.5,0.98,0.82,0.87,3,2,27,25.5,0
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,0.2,0,100,2,6.5,16.5,0.98,0.82,0.85,3,3,1,1,111892,2,0,42,6,4.25,.,.,0,2,6.5,17.5,0.94,0.78,0.91,3,2,19.5,27,0
42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,.,.,0,100,2,6.5,16.5,0.98,0.83,0.86,3,3,1,1,111792,1,0,22,5,4.25,26,0.25,0,2,6.5,16.5,0.94,.,.,3,2,24,16,0
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,0.25,0,25,2,7,16,0.98,0.83,0.86,3,3,1,1,111092,.,11,12,2,4.25,26,0.15,0,3,6.5,17.5,0.98,0.75,0.86,3,3,18,19,0
47,1,0,0,0,0,0,1,0,0,2,25,15,,4.5,4,0.17,0,75,2,6,17,1.05,0.86,0.86,3,3,1,1,111092,.,0,45,2,4.25,.,.,0,2,6,18,1.05,0.86,0.86,3,.,,24.5,0
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,0.2,1,31,3,7,14,1.01,0.84,0.63,4,3,1,1,111092,.,7.5,25,5,4.38,13,0.25,1,3,7,14,0.98,0.79,0.87,4,3,19,25,0
50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,.,0,20,2,10,12,1.01,0.89,3.5,4,3,1,1,111292,.,4,20,3,4.75,13,0.1,0,2,10,13,1.01,0.89,2.35,4,3,14,17,0
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4.25,.,0.15,0,100,2,10,13,1.01,0.89,2.35,4,3,1,1,111792,2,6,15,3,4.25,.,.,0,2,10,13,1,0.89,2.35,5,3,10.5,16.5,0
57,4,1,0,0,0,0,1,0,0,0,30,10,3,4.67,26,0.07,1,70,2,10,12,0.87,0.79,0.9,2,2,1,1,111492,1,7,18,4,4.5,26,0.13,1,2,10,12,1.01,0.78,0.9,2,2,38,20,0
58,4,1,0,0,0,0,1,0,0,2,8,25,3,4.75,26,0.15,0,80,2,10,12,0.87,0.77,1.01,2,2,1,1,111492,2,0,28,4,4.5,26,0.08,1,2,10,12,1.04,0.84,0.94,2,2,23.5,18,0
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4.25,26,0.1,0,90,1,7.5,10.5,0.91,0.89,0.81,2,2,1,1,111492,1,0,16,4,4.25,26,0.1,0,1,7.5,10.5,1.01,0.84,0.86,2,2,10.5,12,0
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,0.1,0,75,1,10.5,11.5,0.94,0.74,0.86,2,2,1,1,111792,2,10,20,5,4.25,4,0.25,0,1,10,12,0.98,0.84,0.86,2,2,25,25,0
407,2,1,0,0,0,0,0,1,0,0,2,12,3,4.75,52,0.12,0,90,3,11,10,0.95,0.74,2.33,4,3,1,1,111492,.,1,14,3,4.25,4,0.3,0,1,11,11,0.95,0.84,2.53,4,3,11,11,0
430,1,0,0,0,0,0,1,0,0,0,20,25,4,4.25,13,0.15,0,44,2,7,15,0.95,0.75,0.8,3,3,1,1,110792,.,0,48,3,4.25,26,0.13,0,2,7,16,0.91,0.73,0.75,3,3,36.5,27,0
432,1,0,0,0,0,0,1,0,0,0,20,55,5,4.5,17,0.15,0,75,2,7,16,0.94,0.74,0.79,4,3,1,1,110792,1,25,10,4,5.05,26,0.2,0,2,7,16,0.94,0.74,0.79,3,1,52.5,34,0
433,1,0,0,0,0,0,1,0,0,0,10,30,4,4.25,13,0.15,0,75,2,7,16,0.95,0.73,0.8,3,3,2,1,123092,6,0,42,4,,.,.,0,2,7,16,0.94,0.74,0.74,3,3,29,25,0
434,1,0,0,0,0,0,1,0,0,2,15,50,5,4.25,6,0.25,0,77,2,7,16,0.95,0.75,.,3,3,1,1,111692,.,19,29,4,4.25,.,.,0,2,7,16,0.95,0.8,0.8,3,3,45,37.5,0
435,1,0,0,0,0,0,1,0,0,1,1,37.5,3,4.25,4,0.17,1,25,2,6.5,15.5,0.95,0.75,0.79,3,3,1,1,110792,.,0,32,5,4.25,6,0.15,1,2,6.5,15.5,0.94,0.74,0.79,3,2,22.75,21,0
438,2,0,0,0,0,0,1,0,0,2,0,9,3,4.25,52,0.07,0,11,2,11,8,1.01,0.84,2.43,2,1,1,1,111292,.,2,9,3,4.25,52,0.05,0,2,11,9,0.95,0.84,2.43,2,1,7.5,9.5,0
440,4,0,0,0,0,0,1,0,0,2,0,25,3,4.25,19,0.15,0,100,2,10.5,11.5,0.89,0.79,2.01,2,2,1,1,111392,.,0,30,3,,.,.,0,2,10.5,11.5,1,0.8,1.8,2,2,15.5,18,0
441,4,0,0,0,0,0,1,0,0,2,30,10,3,4.25,4,0.25,1,100,2,10.5,11.5,0.89,0.77,0.84,2,2,1,1,111392,.,0,30,3,4.25,4,0.25,0,2,10.5,11.5,1,0.8,1.81,2,2,38,18,0
443,4,0,0,0,0,0,1,0,0,0,4,19,4,4.25,4,0.25,0,95,2,10.5,11.5,0.89,0.79,1.8,2,2,1,1,111392,.,5,20,4,4.35,17,0.18,0,2,10.5,11.5,1,0.8,1.81,2,2,17.5,19,0
444,4,0,0,0,0,0,1,0,0,2,12,20,3,4.25,19,0.37,0,.,2,10.5,12.5,0.89,0.8,0.84,2,2,1,1,111392,.,10,35,4,4.5,4,0.3,0,2,10.5,11.5,0.89,.,0.79,2,2,25,31.5,0
446,1,0,0,0,0,0,0,1,0,2,,,3,4.5,4,0.25,0,50,2,6,18,1.03,0.84,0.94,.,.,1,1,110792,.,7,24,4,5,4,0.25,1,2,6,18,0.97,0.84,0.91,4,3,,23,0
448,1,0,0,0,0,0,0,1,0,0,8,18,4,4.75,4,0.25,1,78,2,6,18,0.97,0.84,0.91,3,3,1,1,111892,1,8,27,3,4.5,13,0.25,0,2,6,18,0.96,0.83,0.87,3,3,21,24.5,0
449,1,0,0,0,0,0,0,1,0,2,0,25,3,4.87,3.5,.,0,3,2,6,18,.,.,.,4,4,1,1,110792,.,15,15,5,5,52,0.25,0,2,6,18,0.97,0.84,0.73,3,3,15.5,27.5,0
450,1,0,0,0,0,0,0,1,0,0,2,21,3,4.75,13,0.15,0,50,2,6.5,16.5,0.97,0.82,0.84,3,3,1,1,111892,2,27.5,8,3,4.75,13,0.25,1,2,6,18,0.91,0.84,0.86,3,3,15.5,34.5,0
454,2,1,0,0,0,0,0,1,0,0,1,9,3,4.5,4,0.15,0,.,2,11,10,0.94,0.73,2.53,4,3,1,1,111292,.,0,18,5,5,13,0.25,0,1,11,11,0.94,0.73,2.64,4,3,8.5,14,0
459,3,1,0,0,0,0,0,1,0,0,5,20,3,4.25,13,0.37,0,.,2,6,16,1.05,0.9,0.94,5,.,2,1,122292,1,0,20,5,4.35,28,0.15,1,2,7,15,1.01,1.01,0.89,4,2,18,15,0
466,4,0,0,0,0,0,0,1,0,2,8,17.5,4,4.75,17,0.3,1,65,3,10.5,11.5,0.94,0.8,0.94,2,2,1,1,111892,5,14,12,3,,52,.,0,1,10.5,11.5,0.94,.,.,2,2,20.75,23,0
471,1,0,0,0,0,0,0,1,0,2,25,20,4,4.25,26,.,0,50,2,6,18,0.97,0.84,0.91,2,2,1,1,111692,.,12,23,3,4.25,26,0.15,0,2,6,18,0.97,0.86,0.91,3,1,39,26.5,0
472,1,0,0,0,0,0,0,1,0,2,37.5,2,3,4.25,52,.,0,80,2,6.5,16.5,0.97,1.05,0.91,3,3,1,1,110792,.,8,25,3,4.9,13,0.18,0,2,6,17,0.96,0.84,0.91,3,3,41.5,23.5,0
473,1,0,0,0,0,0,0,1,0,0,5,27,4,4.75,26,0.5,1,50,2,6,17,0.97,0.86,0.89,3,2,1,1,111792,1,26,15,2,4.5,19,0.13,0,2,6,17,0.97,0.84,0.86,3,3,22.5,35.5,0
475,1,0,0,0,0,0,0,1,0,1,25,8,3,4.5,.,.,0,60,1,7,15,1.02,0.89,0.9,3,3,1,1,110792,.,10,16,3,4.5,26,0.15,0,1,7,15,1.02,0.94,0.9,3,3,32,21,0
476,1,0,0,0,0,0,1,0,0,2,6,30,3,4.25,52,0.12,0,60,2,6,18,0.95,0.79,0.91,3,3,1,1,111792,1,5,30,3,4.75,52,0.2,0,2,6,18,0.96,0.84,1.18,3,3,24,23,0
477,1,0,0,0,0,0,0,1,0,1,8,28,4,4.25,39,0.12,1,50,2,6.5,16.5,0.97,0.78,0.99,3,3,1,1,110792,.,6,20,4,6.25,26,0.5,0,2,6,17,0.96,0.84,0.89,3,3,26,20,0
478,1,0,0,0,0,0,1,0,0,0,32,25,4,4.5,13,0.22,0,30,2,6,19,0.97,0.86,0.91,3,3,2,1,122292,1,8,30,4,4.35,13,0.25,0,2,6,18,1.01,0.88,0.91,3,2,48.5,27,0
485,2,1,0,0,0,0,0,1,0,2,1,9,3,4.5,26,0.37,0,80,2,11,10,0.95,0.74,2.33,4,3,1,1,111292,.,4,12,3,4.5,19,.,0,2,11,11,1.01,0.73,2.32,4,3,8.5,13,0
491,3,0,0,0,0,0,0,1,0,0,4,25,2,4.5,13,0.37,0,100,2,8.5,13,1.05,0.91,0.95,3,2,2,3,123092,3,0,0,0,,.,.,.,.,.,.,.,.,.,.,.,18.5,0,0
492,3,1,0,0,0,0,0,1,0,0,2,16,3,4.5,13,0.25,0,75,2,9,12.5,1.11,1.05,0.94,2,1,1,1,111192,.,4,15,2,4.5,19,0.1,0,2,9,12.5,1.11,1.11,1.05,2,1,13,13.5,0
497,4,1,0,0,0,0,0,1,0,0,12,15,3,4.5,13,0.15,1,37,2,10,12,0.91,0.84,0.84,2,2,1,1,111392,.,,,5,,.,.,0,2,10,12,1.01,0.9,0.79,2,2,22.5,,0
498,4,1,0,0,0,0,0,1,0,2,20,10,3,4.75,26,0.1,1,75,2,10,12,0.91,0.84,0.85,2,2,1,1,111792,2,21,5.5,3,5,26,.,1,2,10,12,0.98,0.84,0.9,2,2,28,26.75,0
501,1,0,0,0,0,0,0,1,0,0,14,15,3,4.25,4,0.37,1,63,2,6.5,16.5,0.84,0.84,0.94,3,3,1,1,111792,2,30,15,6,4.75,4,0.35,1,1,6,18,1.03,0.91,0.91,3,3,24.5,43.5,0
503,1,0,0,0,0,0,0,1,0,2,7.5,14,4,4.75,.,0.12,0,100,2,6.5,16.5,0.97,0.84,0.91,3,3,1,1,110792,.,35,6.5,3,4.5,13,0.15,0,2,6,18,0.97,0.84,1,3,3,18.5,41.25,0
510,3,1,0,0,0,0,0,1,0,0,7,25,4,4.25,26,0.25,0,60,2,6,16,1.05,0.91,1.05,3,3,1,1,111892,2,2.5,17.5,3,,13,.,1,2,7,15,1.05,1.01,.,5,3,23.5,14.25,0
511,3,1,0,0,0,0,0,1,0,0,4,16,3,4.75,9,0.15,0,75,2,6,16.5,1.01,0.91,1.05,4,4,1,1,111192,.,3,13,3,4.75,.,.,0,2,7,15,1.01,1.01,0.89,6,2,15,12.5,0
514,3,0,0,0,0,0,0,1,0,0,5,20,3,4.5,26,0.25,0,25,2,6,16,0.94,0.9,0.94,5,3,1,1,111192,1,23,16,3,4.25,10,0.2,0,2,6,16,0.95,0.95,1.05,6,4,18,34,0
516,3,1,0,0,0,0,0,1,0,2,6,22.5,3,4.75,13,0.12,0,23,3,6,16,1.05,0.91,1.05,4,3,1,1,111692,.,2,12,2,4.91,14,0.18,1,2,8,14,1.01,0.95,0.89,5,3,20.25,10,0
521,1,0,0,0,0,0,1,0,0,0,2.5,20,3,4.25,13,.,1,50,2,6.5,16.5,.,.,0.52,4,4,1,1,110792,.,0,12,8,4.4,13,0.13,1,2,7,16,0.41,0.84,0.89,4,2,15.5,14,0
522,1,0,0,0,0,0,1,0,0,2,2,30,4,4.35,26,0.2,0,75,3,7,16,1,0.87,0.94,3,3,1,1,110792,.,3,23,3,4.25,26,0.15,0,3,7,16,1,0.74,0.95,3,3,21,17.5,0
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,.,.,1,.,2,7,16,1.06,0.95,1,4,.,1,1,111092,.,2,40,5,5.05,26,0.28,1,2,7,16,1.05,0.9,0.98,3,2,15,27,1
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,.,0,28,2,7,14.5,1.06,0.95,1.01,2,1,1,1,111092,.,5,25,4,5.05,26,0.15,0,3,7.5,14,1.05,0.94,1,3,2,15,21.5,1
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,.,0,.,0,9,12.5,.,.,.,5,3,1,1,111692,.,8,24,3,5.05,.,0.25,0,2,10,11.5,1.16,1.06,1.05,5,3,24,23,1
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,.,.,1,.,2,10,11.5,1.12,1.07,1.06,6,.,1,1,111692,.,2,33,3,5.05,26,0.2,0,2,10,11.5,1.21,1.01,0.94,6,4,19.25,21.5,1
153,1,0,1,0,0,1,0,0,0,0,0,25,9,,52,0.15,0,33,1,7,17,1,0.95,0.89,4,3,1,1,111092,.,26.5,10,3,5.05,26,0.15,0,2,7,17,1.05,0.95,0.95,3,2,21.5,34.5,1
181,2,0,1,0,0,1,0,0,0,0,0,13,3,,.,.,0,100,1,10.5,11,0.91,0.79,2.34,3,2,1,1,111192,.,1,15,2,5.05,.,0.25,0,1,10.5,11,0.95,0.9,2.49,3,2,9.5,10.5,1
191,4,0,1,0,0,1,0,0,0,0,30,20,4,,.,.,0,.,2,10.5,12,1.06,0.95,1.06,.,1,1,1,111792,1,0,25,4,5.05,6,0.25,1,2,10.5,12,1.02,0.94,1.05,2,2,44,16.5,1
231,1,0,1,0,0,1,0,0,0,1,,10,3,,26,.,0,.,2,7,16,1.02,1.02,0.95,2,2,1,1,111092,.,16,6,4,5.05,4,0.25,0,1,7,16,0.9,0.95,0.95,3,1,,23,1
236,1,0,1,0,0,1,0,0,0,3,0,34,4,,17,.,0,95,1,7,17,1.18,1.02,1.06,4,3,1,1,111792,2,23,22,4,5.05,8,0.28,1,1,7,18,1.1,1.01,0.99,4,3,21,38,1
254,4,0,1,1,0,0,0,0,1,0,20,10,3,,16,.,0,.,1,7,16,1.06,0.86,1.06,2,2,1,1,111492,1,28,10,3,5.25,8,0.2,1,1,7,15,1,0.85,1.05,2,2,28,36,1
255,4,0,1,1,0,0,0,0,0,2,0,14,3,,52,0.27,1,10,1,7,14,1.01,0.79,0.85,2,2,1,1,111392,.,8,12,2,,52,0.14,0,1,7,14,1,0.85,2.11,2,2,10,16,1
294,1,0,1,0,0,1,0,0,0,3,0,35,3,,26,0.2,0,70,2,7,16,1.06,0.95,0.95,3,3,1,1,110992,.,0,35,3,5.05,26,0.2,0,2,7,16,1.05,0.94,0.94,3,2,20.5,20.5,1
306,3,1,1,0,0,1,0,0,0,0,15,15,3,,17,.,0,.,2,6,17,1.02,.,1.06,4,4,1,1,111792,1,6,20,3,5.05,26,0.23,0,2,6,18,1.11,1.05,1.05,.,2,25.5,19,1
311,4,0,1,0,0,1,0,0,0,2,0,30,4,,26,0.32,1,78,2,10.5,11.5,0.91,0.91,1.06,2,2,1,1,111392,.,35,30,3,5.05,.,0.2,0,2,10.5,11.5,1.01,0.95,1.05,2,2,19,53,1
315,1,0,1,1,0,0,0,0,0,0,5,19,2,,4,0.25,1,65,3,7,16,1,0.85,0.88,3,2,1,1,110992,.,4.5,20,2,5.05,8,0.08,0,2,7,16,1.05,0.84,0.87,3,2,16.5,16.5,1
335,1,1,1,1,0,0,0,0,0,0,9,10,3,,13,0.17,0,100,1,6,17,1.06,0.92,0.92,5,2,1,1,111892,3,7,13,3,5.05,26,0.13,0,1,6,17,1.05,0.94,0.94,5,2,17,16.5,1
372,1,1,1,0,0,1,0,0,0,2,0,45,5,,26,0.15,1,30,3,6.5,19,1.1,0.95,1.1,4,.,1,1,111792,1,30,20,5,5.05,8,0.08,0,2,6.5,18.5,1.06,1.05,1.04,4,3,27.5,45,1
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,0.25,0,100,1,11,7,1.2,1.17,2.35,4,2,1,1,111792,1,5,2,2,5.05,13,0.15,0,1,10,8,1.11,1.01,2.23,4,2,5,8,1
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5.12,6,0.25,0,0,3,11,11,1.06,0.85,2.49,6,5,1,1,110592,.,4,17,3,5.05,13,0.25,1,2,11,11,1.05,0.94,2.6,6,3,16,15.5,1
26,1,0,1,0,0,1,0,0,0,3,30,15,4,5.56,6,.,1,.,2,7,16,1.06,0.91,0.98,4,2,1,1,111792,2,10,20,4,5.05,.,.,0,2,7,16,1.01,0.94,0.94,5,4,41.5,24,1
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,.,0.37,0,0,1,11,10,1.06,0.85,2.34,4,3,1,1,111292,.,0,7,4,5.05,26,0.25,0,1,11,10,1.05,0.84,2.53,4,3,13,7.5,1
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,0.37,0,0,1,11,10,1.06,1.06,2.53,2,2,1,1,111292,.,4,3,2,5.05,19,0.25,1,1,11,10,0.94,0.92,2.69,2,2,10,7.5,1
