sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstinc2,special2,meals2,open2,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte_before,fte_after,treated
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,0.15,0,0,2,11,11,1.03,1.06,2.56,4,3,1,1,111492,3,6,15,5,5.05,26,0.25,0,1,10.5,12.5,1,1.05,2.64,4,4,15,18.5,1
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,0.25,0,7,2,6,17,1.02,1.07,0.95,5,4,1,1,111392,.,6,11,5,5.05,.,0.2,0,2,6,17,1.11,1.06,1.05,4,2,26,16.5,1
36,4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,0.17,1,0,2,10.5,13,1.02,0.91,2.57,2,2,1,1,111492,.,10,35,6,5.05,26,0.15,1,2,10.5,12.5,0.95,0.89,1.19,2,2,18,33.5,1
77,3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,0.15,0,100,2,6,19,1.18,1.07,1.17,6,5,1,1,111992,4,4,60,3,5.05,52,0.15,0,2,6,19,1.06,1.06,1.05,6,2,35,37,1
78,3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,0.15,0,0,2,6,17,1.12,1.02,1.02,4,2,1,1,111392,.,10,12,2,5.05,26,0.1,0,2,7,16,1.11,1.01,1.05,5,3,21,18,1
81,4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,0.1,0,95,2,10,12,1.06,0.98,1.06,2,2,2,1,121592,3,0,45,4,5.05,.,.,1,2,10.5,11.5,1.11,0.98,2.07,2,1,34.5,26.5,1
82,4,0,1,0,0,1,0,0,0,6,8,14.5,3,5,13,0.37,1,0,2,10.5,13.5,1.06,1.03,1.06,2,2,1,1,111492,.,25,8,4,5.05,13,0.18,1,2,10.5,13.5,1.11,0.98,1.05,2,2,18.25,33,1
83,4,0,1,0,0,1,0,0,0,2,12.5,20,2,5,13,0.25,0,11,2,10.5,13.5,1.06,0.98,2.13,2,2,1,1,111792,2,,,4,5.05,26,0.5,0,2,10,14,1.11,0.89,0.99,2,2,24.5,,1
85,1,0,1,0,1,0,0,0,1,3,7,20,3,5.5,26,0.52,0,1,1,9,12.5,1.12,1.02,1.02,5,4,1,1,111692,.,0,35,3,5.05,26,0.18,0,1,9,12.5,1.11,1.01,1.05,5,1,20,20.5,1
89,1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,0.17,0,0,2,7,16,1.09,0.95,1.04,3,2,1,1,111092,.,6,25,6,5.5,4,0.63,0,2,7,16,1.11,1.01,1.05,3,3,16,24.5,1
94,2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,0.25,0,0,3,11,10,1.06,0.8,2.56,.,.,1,1,111292,.,2,20,4,5.05,52,0.25,0,1,11,10,1.05,0.79,2.53,3,.,17.5,16,1
103,4,0,1,0,0,1,0,0,0,2,12.5,10,3,5,26,0.27,0,50,2,10.5,11.5,0.91,0.85,0.95,2,2,1,1,111492,2,,,2,5.05,13,.,0,2,10.5,12.5,1.05,0.84,1.26,2,2,20.5,,1
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0.2,0,80,2,10,14,1.06,0.98,1.06,2,2,2,1,121392,9,5,25,6,5.05,28,0.18,0,2,10.5,12.5,1.11,1.09,2.07,.,.,20,23.5,1
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,.,0.15,0,.,2,11,11,1.06,0.85,2.34,4,2,1,1,111492,1,3,16,2,5.05,26,0.25,0,1,11,11,1.05,0.79,2.32,3,2,12.25,13,1
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,0.05,0,0,2,6,16,1.1,1,0.74,6,4,1,1,111392,.,7,18,4,5.05,52,0.25,0,2,6,16,1.11,1,0.89,4,3,33,20,1
131,3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,0.37,1,10,2,6,17,1.06,1.06,1.06,5,2,2,1,121692,2,8,22,3,5.05,.,.,0,2,7,15,1.05,1.11,1.05,5,4,31.5,22,1
139,4,0,1,0,1,0,0,0,0,0,,,2,5.5,.,.,0,.,2,10.5,12.5,0.95,0.95,1.06,2,1,1,1,111492,.,11,25,5,5.5,19,0.25,1,2,11,12,.,.,.,.,.,,28.5,1
143,4,0,1,0,1,0,0,0,0,3,0,30,3,5.37,26,0.25,1,15,2,10.5,11.5,0.95,0.95,1.06,2,2,2,4,121692,2,,,,,.,.,.,.,.,.,.,.,.,.,.,18,,1
144,4,0,1,0,1,0,0,0,0,2,10,30,3,5.05,26,0.15,1,0,2,10.5,12.5,0.91,0.85,1.06,2,2,1,1,111792,1,4,37,3,5.05,26,0.35,1,2,10.5,12.5,0.94,0.94,1.26,2,2,28,25.5,1
145,1,0,1,0,0,1,0,0,0,0,5,17,3,5,13,0.15,1,0,2,7,16,1.06,0.95,0.95,3,2,1,1,111092,.,10,8,4,5.28,26,0.13,1,2,7,16,1.05,0.96,0.95,3,2,16.5,18,1
147,1,0,1,0,0,1,0,0,0,0,8.5,6.5,3,5.12,8,0.25,0,100,2,7,14,1.12,0.89,0.95,2,2,1,1,111892,1,6,0,3,5.25,13,0.38,0,2,7,14,1.13,0.91,0.91,2,2,14.75,9,1
148,1,0,1,0,0,1,0,0,0,4,4.5,30,4,5.25,26,0.17,1,0,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,.,7.5,30,4,5.05,26,0.2,1,2,7,17,1.05,0.94,0.94,3,3,23.5,26.5,1
151,1,0,1,0,0,1,0,0,0,0,1,12,3,5,12,0.1,0,92,2,7,15,1.09,0.81,1.04,3,3,2,3,123092,2,0,0,0,,.,.,.,.,.,.,.,.,.,.,.,10,0,1
152,1,0,1,0,0,1,0,0,0,0,35,15,4,5.12,9,0.67,1,10,1,7,15,1.17,0.95,1.02,3,2,1,1,111092,.,12,13.5,5,5.05,13,0.28,0,2,7,15,1.16,0.94,0.94,3,3,46.5,23.75,1
157,2,0,1,0,0,1,0,0,0,0,10,5,3,5,26,0.25,0,0,1,10.5,12,0.91,0.85,2.34,3,3,1,1,111792,2,12,8,2,5.5,26,0.25,0,1,10.5,11,0.95,0.83,2.47,2,2,15.5,18,1
161,3,1,1,0,0,1,0,0,0,0,8,25,4,5,19,0.15,0,2,2,6,17,1.12,1.02,1.06,7,3,1,1,111992,4,26,12,4,5.05,.,.,0,2,6,17,1.11,1.06,1.05,7,5,24.5,36,1
163,3,1,1,0,0,1,0,0,0,0,12,18,3,5,13,0.15,0,11,2,6,16.5,1.2,1.07,1.06,3,3,1,1,111292,.,1.5,33,3,5.05,26,0.15,0,2,7,15,.,.,.,.,.,24,21,1
164,3,1,1,0,0,1,0,0,0,0,4,30,4,5,26,0.1,0,3,2,5,19,1.12,1.02,1.06,5,3,1,1,111292,.,5,15,3,5.05,52,0.15,0,2,6,17,1.11,1.06,1.05,5,3,23,15.5,1
165,4,0,1,0,0,1,0,0,0,1,20,10,3,5,15,0.27,1,60,2,10.5,12.5,1.06,0.89,1.06,3,2,1,1,111792,1,10,17,4,5.05,14,0.13,0,2,10.5,12.5,1.05,0.98,1.05,2,2,28,22.5,1
169,1,1,1,0,0,1,0,0,0,0,12,33,4,5,13,0.25,0,50,2,7,16,1.1,0.94,1.04,3,3,1,1,111692,.,20,6,4,5.05,52,0.15,0,2,7,16,1.11,1.05,1.05,3,3,32.5,27,1
170,1,1,1,0,0,1,0,0,0,1,10,20,3,5,52,0.52,0,0,2,7,16,1.1,1.02,1.08,3,2,1,1,111092,.,20,20,4,5.05,4,.,0,1,7,16,1.29,1.11,1.18,4,4,23,34,1
187,3,0,1,0,0,1,0,0,1,0,4,20,3,5.62,26,0.52,0,2,2,7,15,1.12,1.09,1.06,4,3,1,1,111292,.,5,17.5,3,5.05,13,0.2,0,2,7,15,1.11,1.06,1.05,4,4,17,16.75,1
190,3,1,1,0,0,1,0,0,0,0,5,42,4,5,26,0.12,1,.,2,6,16,1.02,1.07,1.06,5,.,1,1,111292,.,7,30,4,5.05,26,0.18,0,2,7,15,1.05,1.01,1.74,5,3,30,26,1
196,4,1,1,0,0,1,0,0,0,0,8,19,4,5,26,0.2,0,.,2,10.5,11.5,0.95,0.85,1.06,2,2,1,1,111392,.,0,30,3,5.05,26,0.18,0,2,10.5,12.5,1,0.9,2.11,2,2,21.5,18,1
197,1,0,1,0,0,1,0,0,0,0,23,10,4,5,26,0.25,0,50,2,7,17,0.99,0.89,0.89,3,2,1,1,111792,1,5,21,5,5.05,26,0.13,0,3,7,17,1.05,0.95,0.95,3,1,32,20.5,1
234,1,0,1,0,0,1,0,0,0,2,0,10,3,5,26,.,0,0,2,7,16,1.12,.,0.49,2,2,1,1,111892,2,10,4,3,5.05,26,.,0,2,7,16,1.04,1.01,0.58,3,2,8,15,1
240,3,1,1,0,0,1,0,0,0,0,15,35,3,5.1,26,0.25,0,20,2,6,17,1.18,1.02,1.06,6,4,1,1,111692,1,15,15,3,5.05,26,0.15,0,2,6,17,1.1,1,1.05,6,4,35.5,25.5,1
241,3,0,1,0,0,1,0,0,0,2,15,25,4,5,13,0.37,1,30,2,7,16,1.12,1.02,1.06,5,5,1,1,111192,1,15,,4,5.05,26,0.1,0,2,7,16,1.15,1.05,1.05,5,5,31.5,,1
242,3,1,1,0,0,1,0,0,0,0,25,10,3,5.25,13,0.25,1,0,2,6,17,1.1,1.02,1.06,5,4,1,1,111192,.,12,10,3,5.05,8,0.2,1,2,7,16,1.11,1.06,1.05,6,4,33,20,1
245,3,0,1,0,0,1,0,0,0,3,15,8,3,5.5,.,.,0,0,1,8.5,13.5,1.2,1.02,1.02,4,2,1,1,111792,3,8,12,4,5.05,26,.,0,1,8.5,13,1.11,1.11,1.05,5,1,22,18,1
259,1,0,1,1,0,0,0,0,0,0,13,12,4,5,4,0.25,0,50,2,7.5,14.5,1.02,0.85,0.85,3,3,1,1,110992,.,15,15,4,5.05,.,.,0,2,7.5,14.5,1.05,.,0.84,3,3,23,26.5,1
268,1,1,1,1,0,0,0,0,0,1,10,18,4,5,26,0.17,1,0,2,7,15,1.02,0.85,0.85,5,4,1,1,110992,.,0,42.5,2,5.05,26,0.25,1,2,7,15,0.94,0.78,0.84,4,4,23,23.25,1
271,2,1,1,1,0,0,0,0,0,3,0,13,2,5,13,0.1,0,38,2,11,11,1.02,0.79,2.34,4,2,1,1,111792,1,0,15,3,5.05,8,0.1,0,2,11,12,0.9,0.73,2.28,4,3,8.5,10.5,1
272,2,1,1,1,0,0,0,0,0,4,4,11,3,5.05,4,0.2,0,0,1,11,11,0.95,0.74,2.34,4,2,1,1,111492,1,2,14,3,5.25,26,0.2,0,2,11,12,0.94,0.73,2.32,4,3,12.5,12,1
274,2,1,1,1,0,0,0,0,0,0,0,15,2,5.5,26,0.12,0,27,2,11,10,0.91,0.74,2.34,4,3,1,1,111392,.,3,7,3,5.05,26,0.2,0,1,11,11,.,.,2.32,.,.,9.5,9.5,1
276,2,1,1,1,0,0,0,0,0,3,5,10,3,5,26,0.25,0,0,2,11,10.5,0.95,0.74,2.19,4,3,1,1,111392,.,5,15,3,5.05,26,0.28,0,3,11,12,0.95,0.73,2.32,5,3,13,15.5,1
296,1,1,1,0,0,1,0,0,0,0,5,16,4,5.3,26,0.25,0,50,2,7,16,1.06,0.95,1.01,3,3,1,1,111892,3,4,9,6,5.05,13,.,0,2,7,16,1.05,0.94,1,3,2,17,14.5,1
299,2,1,1,0,0,1,0,0,0,0,3,8,2,5,26,.,0,0,1,10.5,11.5,1.06,0.85,2.34,3,2,1,1,111792,1,6,12,2,5.05,13,0.25,0,1,11,11.5,1.05,0.84,2.32,3,2,9,14,1
301,2,1,1,0,0,1,0,0,0,4,8,12,5,5,11,0.36,1,0,3,11,10.5,1.06,0.85,2.34,3,1,1,1,111492,1,2,7,1,5.05,4,0.5,0,2,11,10.5,0.94,0.84,2.32,3,2,19,6.5,1
320,2,0,1,1,0,0,0,0,1,0,5,9,2,5,13,0.12,1,0,2,11,12,1.12,0.8,2.45,4,4,1,1,111392,.,4,6,3,5.05,.,.,0,1,11,11,1.05,0.84,2.43,4,3,11.5,10,1
321,2,0,1,1,0,0,0,0,1,0,3,14,3,5,.,0.25,0,10,2,10.5,12.5,1.12,0.85,2.45,4,2,1,1,111492,2,4,11,2,5.05,13,0.15,0,1,11,12,1.05,0.84,2.43,4,3,13,11.5,1
324,3,0,1,1,0,0,0,0,0,2,20,46,5,5.25,26,0.2,0,0,2,0,24,1.18,1.06,.,5,2,2,1,121892,4,22,39,5,5.05,52,0.25,1,2,0,24,1.22,1.05,1.05,5,2,48,46.5,1
326,3,1,1,1,0,0,0,0,1,3,18,45,5,5.15,11,0.15,0,7,2,0,24,1.26,0.99,.,4,3,1,1,111892,1,0,45,4,5.05,.,.,0,2,0,24,1.22,.,1.05,4,2,45.5,26.5,1
330,4,0,1,1,0,0,0,0,1,0,4,16,3,5.42,13,0.12,1,0,1,10.5,15.5,1.01,0.86,0.95,2,2,1,1,111392,.,3,20,3,5.67,52,0.25,0,1,10.5,14.5,0.94,0.79,1.26,2,2,15,16,1
334,1,0,1,1,0,0,0,0,0,0,10,10,3,5,4,0.17,0,0,3,9,12.5,0.91,0.91,0.91,3,3,1,1,110992,.,0,20,3,5.05,26,0.18,.,3,9,12.5,0.9,0.9,0.85,3,2,18,13,1
349,3,1,1,1,0,0,0,0,0,1,2.5,27,5,5,6,0.15,0,10,2,6,16,1.12,0.91,0.95,3,3,1,1,111192,.,0,20,4,5.05,4,0.18,0,2,7,15,1.01,1.01,0.94,3,3,21,14,1
354,4,0,1,1,0,0,0,0,0,3,14,7,3,5.06,4,0.25,1,10,1,10.5,10.5,0.95,0.86,0.95,2,2,1,1,111392,.,9,7,3,5.05,13,0.23,0,1,10.5,10.5,1,0.85,0.94,2,2,20.5,15.5,1
356,4,0,1,1,0,0,0,0,0,3,11.5,10,4,5.05,13,.,1,0,1,10.5,11.5,0.95,0.8,1.06,2,2,1,1,111492,.,0,28,4,5.05,17,0.15,1,1,10.5,11.5,1,0.85,1.05,2,2,20.5,18,1
357,4,0,1,0,0,1,0,0,0,1,4.5,20,3,5,16,0.2,0,100,1,10.5,11.5,0.95,0.86,0.95,2,2,1,1,111392,.,21,6,3,5.25,13,0.25,0,1,10.5,12.5,1,0.84,2.35,2,2,17.5,27,1
371,1,0,1,0,0,1,0,0,0,0,12,23,4,5,13,0.15,0,100,2,7,16,1.06,1.02,0.95,3,3,1,1,110792,.,11,22,5,5.25,26,.,0,3,7,16,.,.,.,4,2,27.5,27,1
373,1,1,1,0,0,1,0,0,0,0,14,12,4,5,4,0.25,0,100,2,6.5,15.5,1.01,0.95,1.03,6,3,1,1,110792,.,18,15,4,5.05,13,0.25,1,2,6.5,15.5,1.1,0.94,1.02,6,5,24,29.5,1
375,1,0,1,0,0,1,0,0,0,3,25,10,4,5.25,26,0.25,1,0,1,7,15,1.02,0.8,.,4,2,1,1,111692,1,0,25,4,5.5,26,0.1,1,1,7,15,1.05,0.94,1.01,3,3,34,16.5,1
378,1,1,1,0,0,1,0,0,0,4,10,8,4,5,52,0.1,0,.,2,6.5,18.5,1.1,0.96,1.1,5,5,1,1,110792,.,20,15,4,5.05,52,0.25,1,2,6,19,1.05,0.99,1.03,6,4,18,31.5,1
381,1,0,1,0,0,1,0,0,0,0,10,20,4,5,13,0.5,1,0,2,6.5,16.5,1.27,1.17,1.1,4,2,1,1,111692,.,15,15,5,5.05,8,0.47,1,2,6.5,16.5,1.37,1.16,1.16,4,2,24,27.5,1
403,3,1,1,0,0,1,0,0,0,2,13,31,,5.05,26,0.15,0,10,2,6,18,1.09,1.12,1.06,5,4,1,1,111892,3,11,23,3,5.05,13,.,1,2,7,16,1.11,1.06,1.05,4,4,,25.5,1
406,4,1,1,0,0,1,0,0,0,0,12,35,4,5,.,0.32,0,0,1,10.5,11.5,1.02,.,2.14,2,2,1,1,111392,.,17,22,4,5.5,13,.,.,1,10.5,12.5,0.84,0.94,1.99,2,2,33.5,32,1
407,4,1,1,0,0,1,0,0,0,2,5,10,2,5.75,26,0.15,1,0,2,11,10.5,1.17,1.17,1.38,1,1,1,1,111392,.,8,7,3,5.5,26,0.15,0,2,11,10.5,1.05,1.16,2.32,1,1,12,14.5,1
409,1,0,1,0,0,1,0,0,0,0,3,60,2,5,39,.,0,0,1,7,15,1.19,0.87,0.95,3,3,1,1,111792,2,0,15,3,5.05,.,.,0,1,7,15,1.09,1.04,1.01,3,3,35,10.5,1
1,1,0,1,0,1,0,0,0,0,0,16,30,4,4.5,.,0.25,0,80,3,7,16,0.93,0.83,0.85,4,3,1,1,110592,.,20,40,4,5.05,.,.,0,2,7,16,1.05,0.79,0.9,4,3,35,44,1
2,1,0,1,0,1,0,0,0,0,0,10,6,3,4.75,26,0.5,1,80,1,7,14,1.06,0.91,0.96,2,2,1,1,110592,.,7.5,10,3,5.25,19,0.38,1,1,7,15,1.05,1.01,0.94,2,2,16,15.5,1
3,2,0,1,0,1,0,0,0,0,3,6,13,3,4.25,13,0.25,1,50,2,11,10,1.06,0.95,3.09,5,3,1,1,111792,2,4,7,3,5.05,26,0.25,0,1,11,11,1.05,0.94,2.75,5,3,15.5,10.5,1
4,3,0,1,0,1,0,0,0,0,0,10,12,3,4.75,4,0.25,0,50,2,9,12.5,1.06,1,2.13,8,4,1,1,110592,.,5,30,4,5.05,26,0.28,0,2,8,13.5,1.22,1.37,0.89,6,4,19,24,1
5,3,0,1,0,1,0,0,0,0,0,5,30,4,4.5,13,0.17,0,.,1,6,17,0.95,.,2.13,5,4,1,1,111892,2,10,30,4,5.15,4,0.18,0,2,6,17,1.05,0.94,0.94,5,5,24,29,1
8,4,0,1,0,1,0,0,0,0,0,,25,4,4.8,.,0.15,0,.,1,10.5,12,1.02,0.91,2.28,2,1,1,1,110592,.,15,25,3,5.05,26,0.33,0,2,10,13,1.01,1.01,0.94,2,2,,30.5,1
9,1,0,1,0,1,0,0,0,0,2,12,40,4,4.37,26,0.15,0,35,2,7,16,1.04,0.67,0.85,4,4,1,1,110592,.,0,32,4,5.05,26,0.13,0,2,7,16,1.11,0.92,1.01,4,3,36,20,1
10,1,0,1,0,1,0,0,0,0,0,15,20,4,4.25,39,0.17,0,80,2,7,16,1.04,0.85,0.85,3,3,1,1,110592,.,15,15,4,5.05,4,0.28,0,2,7,16,0.94,0.87,0.94,3,2,29,26.5,1
11,1,0,1,0,1,0,0,0,0,2,10,30,4,4.25,26,0.1,0,80,2,7,16,1.09,0.89,0.91,3,3,1,1,111792,1,12,24,3,5.05,.,.,0,2,7,16,1.05,0.87,0.94,3,2,29,27,1
12,1,0,1,0,1,0,0,0,0,0,6.5,23.5,3,4.37,9,0.1,0,100,2,7,16,1.05,0.79,0.91,3,3,1,1,111892,3,15,15,4,5.05,26,0.25,0,3,7,16,1.01,0.92,0.94,3,2,21.25,26.5,1
13,2,0,1,0,1,0,0,0,0,0,0,25,3,4.5,7,0.25,0,100,2,11,10,1.06,0.95,2.66,5,4,1,1,111792,1,2,11,3,5,13,0.25,0,1,11,11,1.01,0.94,2.75,4,3,15.5,10.5,1
15,3,0,1,0,1,0,0,0,0,3,3,25,4,4.6,9,0.15,1,95,2,6,17,1.02,0.98,0.95,5,4,2,1,121092,5,5,20,3,5.05,.,0.25,0,2,6,17,1.05,1.01,2,3,3,19.5,18,1
16,3,0,1,0,1,0,0,0,0,0,6,22,4,4.5,13,0.25,0,50,2,6,17,1,1,.,5,5,1,1,110592,.,7,17,3,5.05,19,0.25,0,2,6,17,1.05,1.01,0.94,5,5,21,18.5,1
17,3,0,1,0,1,0,0,0,0,0,0,20,4,4.37,13,0.25,0,60,2,6,17,1.06,1,2.02,6,5,1,1,111692,1,4,35,4,5.05,13,0.2,0,2,6,17,1.05,0.94,0.95,6,5,14,25.5,1
18,3,0,1,0,1,0,0,0,0,2,15,25,3,4.25,13,.,0,50,2,6,17,.,.,.,4,4,1,1,110592,.,8,38,5,5.05,.,0.25,1,2,6,17,1.05,1,0.63,7,7,30.5,32,1
19,1,0,1,1,0,0,0,0,0,3,4,31,4,4.25,4,0.25,0,50,2,6,16,1.05,0.91,0.93,3,3,1,1,110592,.,6,44,5,5.05,52,0.3,0,2,6,16,1.04,0.93,0.95,2,2,23.5,33,1
21,2,0,1,1,0,0,0,0,0,0,5,12,3,4.45,6,0.1,0,90,2,10.5,10.5,1.06,0.8,2.13,3,3,1,1,111492,1,0,11,2,5.05,.,.,0,2,11,10,0.94,0.94,2.43,3,3,14,7.5,1
22,3,0,1,1,0,0,0,0,0,2,3,15,4,4.35,26,0.12,0,90,2,7,16,1.06,0.84,0.95,4,1,1,1,110592,.,3,15,2,5.05,19,0.13,0,2,7,15,1.05,1.05,0.94,4,4,14.5,12.5,1
23,1,0,1,0,0,1,0,0,0,2,0,25,3,4.5,26,0.12,0,75,2,7,16,1.06,0.95,0.95,3,2,1,1,111792,1,14,14,3,5.05,.,.,0,1,6.5,16.5,1.05,0.94,0.94,3,2,15.5,24,1
24,1,0,1,0,1,0,0,0,0,2,15,15,4,4.75,13,0.25,1,40,2,7,16,1.06,0.95,1.01,4,3,2,1,122192,3,15,20,4,5.05,52,0.15,0,2,.,.,1.05,0.94,1,4,3,26.5,29,1
28,2,0,1,0,0,1,0,0,0,6,0,14,1,4.5,.,0.25,0,10,2,11,10,1.06,1.17,2.56,2,1,1,1,111892,3,6,2,3,,.,.,0,1,11,10,.,1.05,2.64,3,2,8,10,1
29,2,0,1,0,0,1,0,0,0,3,0,7,2,4.5,4,0.25,0,.,2,11,11,1.06,1.01,2.56,3,2,1,1,111292,.,0,13,3,5.05,26,0.25,0,1,11,11,1.05,1.05,2.64,3,3,5.5,9.5,1
32,3,0,1,0,0,1,0,0,0,0,10,20.5,3,4.5,26,0.25,0,40,2,10.5,11.5,1.12,1.02,1.06,4,3,1,1,111792,1,2,25,3,5.05,26,0.23,0,2,10.5,11.5,1.22,1.11,2.28,4,4,23.25,17.5,1
34,3,1,1,0,0,1,0,0,0,0,5,15,3,4.95,26,.,0,75,2,10.5,11.5,1.12,1.02,1.06,5,3,1,1,111392,.,11,7,3,5.05,26,0.5,0,2,10.5,11.5,1.22,1.11,0.73,5,2,15.5,17.5,1
35,4,0,1,0,0,1,0,0,0,2,25,6.5,4,4.5,9,0.25,1,.,2,10.5,11.5,0.96,0.95,2.13,2,2,1,1,111992,6,13,18,3,5.05,13,0.25,0,2,10.5,11.5,1.03,.,.,2,2,32.25,25,1
38,1,0,1,0,1,0,0,0,0,0,15,20,5,4.25,17,0.15,0,100,2,6,17,1.05,0.95,0.98,3,2,1,1,111092,.,10,20,6,5.05,.,0.25,0,3,6.5,17.5,0.98,0.82,0.76,3,2,30,26,1
63,1,1,1,0,0,1,0,0,0,1,26,6,,4.25,26,.,0,75,2,6,18,1.1,0.97,1.17,4,3,1,1,111792,1,15,10,4,5.05,26,0.1,0,2,7,18,1.11,1.01,1.09,4,3,,24,1
64,1,0,1,0,0,1,0,0,0,1,20,15,3,4.5,26,0.2,0,60,3,7,16,1.06,0.95,0.95,3,2,1,1,111092,.,13,13,3,5.05,26,0.25,0,2,7,16,1.05,0.95,0.95,3,3,30.5,22.5,1
65,1,0,1,0,0,1,0,0,0,5,0,20,4,4.8,52,0.25,0,90,2,6.5,15.5,1.06,0.85,1.11,3,3,2,2,121592,3,,,3,5.05,.,.,.,.,.,.,.,.,.,.,.,14,,1
66,1,0,1,0,0,1,0,0,0,0,15,18,3,4.25,26,0.15,0,20,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,.,26,10,4,5.05,26,0.25,1,1,7,17,1.05,0.95,0.95,3,3,27,35,1
67,1,0,1,0,0,1,0,0,0,0,5,15,6,4.5,13,0.25,0,55,1,8,13.5,1.17,1.06,1.17,3,2,1,1,111092,.,4,17.5,5,5.05,.,.,0,1,8,13.5,1.32,1.05,1.22,3,3,18.5,17.75,1
68,1,0,1,0,0,1,0,0,0,1,30,10,3,4.25,14,0.05,0,.,3,7,17,1.07,1.02,1.02,3,3,1,1,111092,.,13,17,3,5.05,13,0.28,0,3,7,17,1.05,0.95,0.95,3,1,38,24.5,1
69,1,0,1,0,0,1,0,0,0,0,0,27,3,4.25,13,0.22,0,100,2,7,18,1.17,0.95,0.95,4,2,1,1,111792,.,0,27,3,5.05,13,0.2,0,2,7,18,1.26,1.01,1,4,2,16.5,16.5,1
70,1,0,1,0,0,1,0,0,0,0,35,20,5,4.5,13,0.27,0,50,1,7,16,1.06,0.95,1.02,3,3,1,1,111092,.,10,30,5,5.05,4,0.23,.,1,7,16,1.05,0.95,1.01,3,3,50,30,1
71,1,0,1,0,0,1,0,0,0,1,0,35,3,4.75,13,0.25,0,100,3,7,17,1.06,0.95,0.95,3,2,1,1,111692,.,29,14,3,5.05,26,0.18,1,3,7,17,1.05,0.95,0.95,3,2,20.5,39,1
